VISIT.,AMGR,AMMA,ANBO,PSRE,RAAU,RACA,RAPR,TAGR,SiteCode
87-10,NA,NA,50,NA,NA,NA,NA,NA,BRUR
87-08,NA,NA,NA,NA,NA,1,NA,NA,DRY
87-13,NA,NA,NA,NA,NA,NA,NA,50,FROG
87-02,NA,NA,NA,20,NA,4,NA,12,JACK
87-14,NA,NA,NA,NA,NA,NA,NA,NA,FRY
87-04,NA,NA,NA,NA,NA,2,NA,12,LCM
88-02,NA,NA,30,2,NA,NA,NA,3,BRUR
88-03,NA,NA,1,NA,NA,NA,NA,NA,BRUR
88-04,NA,NA,1,NA,NA,NA,NA,NA,BRUR
88-08,NA,NA,NA,NA,NA,NA,NA,NA,FRY
88-05,NA,NA,NA,NA,NA,NA,NA,2,BRUR
88-06,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
89-01,NA,NA,NA,6,NA,NA,NA,NA,BRUR
89-02,NA,NA,0,NA,NA,NA,NA,NA,BRUR
89-04,NA,NA,NA,3,NA,NA,NA,1,FRY
89-03,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
90-11,NA,NA,NA,NA,NA,NA,NA,NA,LCM
90-09,NA,NA,30,NA,NA,NA,NA,NA,BRUR
90-05,NA,NA,NA,NA,NA,NA,NA,NA,JACK
90-07,NA,NA,NA,NA,NA,5,NA,NA,DRY
90-10,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
91-10,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
91-11,NA,NA,NA,6,NA,NA,NA,NA,BRUR
91-07,NA,NA,NA,NA,NA,1,NA,NA,WEENS
91-12,NA,NA,1,NA,NA,NA,NA,NA,BRUR
91-13,NA,NA,40,NA,NA,NA,NA,NA,BRUR
91-18,NA,NA,NA,NA,NA,NA,NA,NA,FRY
91-04,NA,NA,NA,100,NA,20,NA,NA,JACK
91-03,NA,NA,1,2,NA,NA,NA,NA,DRY
91-15,NA,NA,NA,NA,NA,NA,NA,NA,FROG
91-16,NA,NA,NA,NA,NA,NA,NA,NA,FROG
91-19,NA,NA,NA,NA,NA,NA,NA,NA,FRY
91-05,NA,NA,NA,NA,NA,NA,NA,NA,JACK
91-08,NA,NA,NA,NA,NA,NA,NA,NA,DRY
91-17,NA,NA,NA,NA,NA,NA,NA,NA,FROG
91-20,NA,NA,NA,1,NA,NA,NA,NA,LCM
92-14,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
92-15,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
92-01,NA,NA,NA,1,NA,NA,NA,4,WEENS
92-25,NA,17,NA,4,NA,NA,NA,50,FROG
92-26,1,NA,110,4,NA,NA,NA,NA,FROG
92-27,NA,5,28,NA,NA,NA,NA,NA,FROG
92-09,NA,NA,NA,1,NA,NA,NA,10,WEENS
92-28,NA,3,8,5,NA,NA,NA,NA,FROG
92-29,NA,NA,NA,NA,NA,NA,NA,60,FROG
92-17,NA,NA,12,NA,NA,NA,NA,NA,BRUR
92-18,NA,NA,30,NA,NA,NA,NA,NA,BRUR
92-30,NA,NA,NA,NA,NA,NA,NA,NA,FROG
92-19,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
92-32,NA,NA,NA,NA,NA,NA,NA,12,FRY
92-03,NA,NA,NA,NA,NA,1,NA,1,JACK
92-10,NA,NA,NA,NA,NA,NA,NA,NA,DRY
92-31,NA,NA,NA,NA,NA,NA,NA,NA,FROG
92-04,NA,NA,NA,NA,NA,NA,NA,NA,JACK
92-11,NA,NA,NA,NA,NA,NA,NA,NA,DRY
92-34,NA,NA,NA,NA,NA,1,NA,NA,LCM
92-33,NA,NA,NA,NA,NA,NA,NA,NA,FRY
92-05,NA,NA,NA,NA,NA,1,NA,NA,JACK
92-12,NA,NA,NA,NA,NA,NA,NA,NA,DRY
92-06,NA,NA,NA,NA,NA,NA,NA,NA,JACK
92-20,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
93-21,NA,NA,NA,NA,1,NA,NA,6,BRUR
93-22,NA,NA,NA,NA,NA,NA,NA,1,BRUR
93-23,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
93-15,NA,NA,NA,4,NA,NA,NA,1,WEENS
93-34,NA,2,NA,NA,NA,NA,NA,16,FROG
93-24,NA,NA,83,NA,NA,NA,NA,NA,BRUR
93-35,NA,NA,1,NA,NA,NA,NA,NA,FROG
93-25,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
93-27,NA,NA,NA,NA,NA,NA,NA,NA,FROG
93-13,NA,NA,NA,NA,NA,NA,3,NA,CAMAS
93-36,NA,NA,NA,NA,NA,NA,NA,NA,FRY
93-16,NA,NA,NA,NA,NA,NA,NA,NA,DRY
93-28,NA,NA,NA,NA,NA,NA,NA,NA,FROG
93-03,NA,NA,NA,NA,NA,NA,1,6,CAMAS
