DATE.num.scaled,AMGR,AMMA,ANBO,PSRE,RAAU,RACA,RAPR,TAGR,SiteCode
611,NA,NA,50,NA,NA,NA,NA,NA,BRUR
624,NA,NA,NA,NA,NA,1,NA,NA,DRY
624,NA,NA,NA,NA,NA,1,NA,NA,DRY
624,NA,NA,NA,NA,NA,1,NA,NA,DRY
650,NA,NA,NA,NA,NA,NA,NA,50,FROG
650,NA,NA,NA,NA,NA,NA,NA,50,FROG
650,NA,NA,NA,NA,NA,NA,NA,50,FROG
654,NA,NA,NA,20,NA,4,NA,12,JACK
654,NA,NA,NA,20,NA,4,NA,12,JACK
654,NA,NA,NA,20,NA,4,NA,12,JACK
680,NA,NA,NA,NA,NA,NA,NA,NA,FRY
680,NA,NA,NA,NA,NA,NA,NA,NA,FRY
690,NA,NA,NA,NA,NA,2,NA,12,LCM
690,NA,NA,NA,NA,NA,2,NA,12,LCM
690,NA,NA,NA,NA,NA,2,NA,12,LCM
984,NA,NA,30,2,NA,NA,NA,3,BRUR
984,NA,NA,30,2,NA,NA,NA,3,BRUR
984,NA,NA,30,2,NA,NA,NA,3,BRUR
1009,NA,NA,1,NA,NA,NA,NA,NA,BRUR
1022,NA,NA,1,NA,NA,NA,NA,NA,BRUR
1024,NA,NA,NA,NA,NA,NA,NA,NA,FRY
1024,NA,NA,NA,NA,NA,NA,NA,NA,FRY
1063,NA,NA,NA,NA,NA,NA,NA,2,BRUR
1063,NA,NA,NA,NA,NA,NA,NA,2,BRUR
1084,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
1084,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
1304,NA,NA,NA,6,NA,NA,NA,NA,BRUR
1350,NA,NA,0,NA,NA,NA,NA,NA,BRUR
1371,NA,NA,NA,3,NA,NA,NA,1,FRY
1371,NA,NA,NA,3,NA,NA,NA,1,FRY
1371,NA,NA,NA,3,NA,NA,NA,1,FRY
1371,NA,NA,NA,3,NA,NA,NA,1,FRY
1455,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
1732,NA,NA,NA,NA,NA,NA,NA,NA,LCM
1732,NA,NA,NA,NA,NA,NA,NA,NA,LCM
1735,NA,NA,30,NA,NA,NA,NA,NA,BRUR
1748,NA,NA,NA,NA,NA,NA,NA,NA,JACK
1748,NA,NA,NA,NA,NA,NA,NA,NA,JACK
1748,NA,NA,NA,NA,NA,NA,NA,NA,JACK
1748,NA,NA,NA,NA,NA,5,NA,NA,DRY
1748,NA,NA,NA,NA,NA,5,NA,NA,DRY
1748,NA,NA,NA,NA,NA,5,NA,NA,DRY
1748,NA,NA,NA,NA,NA,5,NA,NA,DRY
1811,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
1811,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
